scenario_id,timestamp,kpi_name,kpi_level,node,value,baseline_value,anomaly_score,forecast_value,threshold,status,related_interfaces,related_components
SCENARIO-01,2026-08-12T10:00:00Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.6,99.5,0.05,99.51,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:06Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.55,99.5,0.02,99.57,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:12Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.38,99.5,0.03,99.56,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:18Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.5,99.5,0.02,99.45,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:24Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.38,99.5,0.03,99.42,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:30Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.37,99.5,0.03,99.47,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:36Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.5,99.5,0.03,99.44,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:42Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.5,99.5,0.04,99.58,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:48Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.51,99.5,0.03,99.53,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:00:54Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.36,99.5,0.05,99.57,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:00Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.46,99.5,0.02,99.54,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:06Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.46,99.5,0.05,99.46,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:12Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.39,99.5,0.02,99.52,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:18Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.5,99.5,0.04,99.48,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:24Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.5,99.5,0.03,99.5,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:30Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.46,99.5,0.04,99.42,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:36Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.51,99.5,0.05,99.51,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:42Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.57,99.5,0.03,99.58,95.0,NORMAL,N4;N11,AMF;SMF;UPF
SCENARIO-01,2026-08-12T10:01:48Z,PDU_SESSION_ESTABLISHMENT_SUCCESS_RATIO,L1,SMF-01,99.45,99.5,0.04,99.48,95.0,NORMAL,N4;N11,AMF;SMF;UPF
